Model Name,Size in B-parameters,Release (YY/MM),Link to paper,Link to model,Author,Architecture,English-only/Multilingual,Commercial use (Don't trust me ask a lawyer!),Random comment
T0pp,11,21-Oct,<a href='https://arxiv.org/abs/2110.08207'>Paper</a>,<a href='https://huggingface.co/bigscience/T0pp'>Model</a>,BigScience,Encoder-Decoder,English,✅,First open-source real competitor to GPT-3. Change my mind!
T0_3B,3,21-Oct,Paper,Model,BigScience,Encoder-Decoder,English,✅,Like T0pp but smaller and not better
T0,11,21-Oct,Paper,Model,BigScience,Encoder-Decoder,English,✅,Like T0pp but not smaller and not better
OPT-IML-30B,30,22-Dec,Paper,Model,Meta,Decoder-only,English (?),❌,December 2022 is a crazy month
OPT-IML-Max-30B,30,22-Dec,Paper,Model,Meta,Decoder-only,English (?),❌,Like OPT-IML-30B but morer tasks
GPT-JT,6,22-Nov,Blog Post,Model,Together,Decoder-only,English,❔,They have an online demo
GPT-J 6B,6,21-Aug,"Blog, GitHub",Model,Together,Decoder-only,English,✅,More popular than T0pp for some reason. Go T5!
BLOOMZ,176,22-Nov,Paper,Model,BigScience,Decoder-only,Multilingual,❔,"Run if on CPU if you want your eyes to bleed, and on GPU if you want your eyes to explode. Prefer BLOOMZ-mt for non-English prompts."
mT0-xxl,13,22-Nov,Paper,Model,BigScience,Encoder-Decoder,Multilingual,❔,Prefer mT0-xxl-mt for non-English prompts.
BLOOMZ-mt,176,22-Nov,Paper,Model,BigScience,Decoder-only,Multilingual,❔,"Does ""Crosslingual Generalization"" means it also understands Klingon?"
mT0-xxl-mt,13,22-Nov,Paper,Model,BigScience,Encoder-Decoder,Multilingual,❔,I can't undertand how BigScience isn't better-known.
